symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
AAME,Atlantic American Corporation Common Stock,2514,2016-07-18,2026-07-17,65.324641326244,32332.000494003296,32227620.0,中波动,低流动性,微盘（<0.3B）,历史≥1年,低流动性－中波动
ABVC,"ABVC BioPharma, Inc. Common Stock",2514,2016-07-18,2026-07-17,88.48987661332588,150366.50494337082,32500553.0,中波动,低流动性,微盘（<0.3B）,历史≥1年,低流动性－中波动
ACFN,"Acorn Energy, Inc. Common Stock",2514,2016-07-18,2026-07-17,89.02176142945342,349158.49895477295,50616646.0,中波动,低流动性,微盘（<0.3B）,历史≥1年,低流动性－中波动
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,1345,2021-03-10,2026-07-17,54.12754176376136,186091.4978504181,864024612.0,中波动,低流动性,小盘（0.3B–2B）,历史≥1年,低流动性－中波动
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,1335,2021-03-24,2026-07-17,75.28549511349645,220177.4969816208,294662261.0,中波动,低流动性,微盘（<0.3B）,历史≥1年,低流动性－中波动
AIRG,"Airgain, Inc. Common Stock",2495,2016-08-12,2026-07-17,59.73984401142803,209581.50324821472,75927922.0,中波动,低流动性,微盘（<0.3B）,历史≥1年,低流动性－中波动
AIRT,"Air T, Inc. Common Stock",2514,2016-07-18,2026-07-17,55.69032680690066,23963.49983215332,72866414.0,中波动,低流动性,微盘（<0.3B）,历史≥1年,低流动性－中波动
ALOT,"AstroNova, Inc. Common Stock",2514,2016-07-18,2026-07-17,82.89021785724256,151229.4988155365,221741235.0,中波动,低流动性,微盘（<0.3B）,历史≥1年,低流动性－中波动
ALZN,"Alzamend Neuro, Inc. Common Stock",1278,2021-06-15,2026-07-17,76.31151559268885,126349.49762821198,4603737.0,中波动,低流动性,微盘（<0.3B）,历史≥1年,低流动性－中波动
ANTA,Antalpha Platform Holding Company Class A Ordinary Shares,296,2025-05-13,2026-07-17,75.43849353927487,41675.99973678589,97017946.0,中波动,低流动性,微盘（<0.3B）,历史≥1年,低流动性－中波动
APRE,"Aprea Therapeutics, Inc. Common stock",1705,2019-10-03,2026-07-17,89.81733570720141,80093.90128850937,8785580.0,中波动,低流动性,微盘（<0.3B）,历史≥1年,低流动性－中波动
APWC,"Asia Pacific Wire & Cable Corporation, Ltd. Ordinary Shares (Bermuda)",2514,2016-07-18,2026-07-17,66.04555661913044,9396.00014090538,60199383.0,中波动,低流动性,微盘（<0.3B）,历史≥1年,低流动性－中波动
APYX,Apyx Medical Corporation Common Stock,1895,2019-01-02,2026-07-17,82.44267777713497,305620.5131530762,179383531.0,中波动,低流动性,微盘（<0.3B）,历史≥1年,低流动性－中波动
